							Rank1	Rank2			
JXCB01000004|agnB2_Leu-tRNA-syn|899612|900068|44646|47219|cluster-1|t1pks-otherks|879560-932985|852393	KB235898|agnB2_Leu-tRNA-syn|973399|973817|835918|838476|cluster-3|t1pks-nrps|945213-1034242|134923	456	418	38.157895	80.863477	42.70558251	10013	2841.5			
CP004121|AdmT_ACC|463506|463920|3184212|3185081|cluster-2|transatpks-t1pks-nrps|382688-487330|2720292	CP012673|AdmT_ACC|13188123|13188548|9758865|9759722|cluster-1|t1pks-nrps|13135293-13218318|3428401	414	425	38.164251	37.716263	0.447988232	10009.5	9498.5			
CP004121|AdmT_ACC|463506|463920|3184212|3185081|cluster-2|transatpks-t1pks-nrps|382688-487330|2720292	CP032402|AdmT_ACC|2236024|2236453|5212381|5214063|cluster-1|t1pks|2215911-2260035|2975928	414	429	38.164251	40.83045	2.666198619	10009.5	7961			
CP004121|AdmT_ACC|463506|463920|3184212|3185081|cluster-2|transatpks-t1pks-nrps|382688-487330|2720292	KB913024|AdmT_ACC|2074721|2075141|3392382|3394085|cluster-1|t1pks|2054628-2101080|1317241	414	420	38.164251	38.408304	0.244053291	10009.5	9178.5			
CP004121|AdmT_ACC|463506|463920|3184212|3185081|cluster-2|transatpks-t1pks-nrps|382688-487330|2720292	KE150468|AdmT_ACC|44591|45016|1783056|1784753|cluster-1|t1pks|1-100586|1738040	414	425	38.164251	38.408304	0.244053291	10009.5	9178.5			
ACJE01000019|EF-Tu|1442359|1442773|1107431|1108800|cluster-7|t1pks|1398556-1469970|333559	FNLF01000002|EF-Tu|1087696|1088124|1141523|1142713|cluster-1|ladderane-t1pks-nrps|1057479-1153604|53399	414	428	38.164251	28.473804	9.690447108	10009.5	10966			
ACJE01000019|EF-Tu|1442359|1442773|1107431|1108800|cluster-7|t1pks|1398556-1469970|333559	FNTO01000001|EF-Tu|7050151|7050570|1671524|1672696|cluster-2|butyrolactone-t3pks-t1pks-otherks|7009998-7097972|5377455	414	419	38.164251	29.612756	8.551494943	10009.5	10826			
QMDO01000001|AdmT_ACC|1286014|1286441|1361387|1362238|cluster-1|transatpks-otherks-nrps|1236815-1375470|74946	QTTT01000001|AdmT_ACC|4477833|4478258|3349202|3350902|cluster-1|t1pks-nrps|4457819-4507049|1126931	427	425	38.173302	39.929329	1.756026514	10006	8510.5			
CP012673|AdmT_ACC|8101043|8101483|9758865|9759722|cluster-2|t1pks|8080348-8127664|1657382	CP032402|AdmT_ACC|2236024|2236453|5212381|5214063|cluster-1|t1pks|2215911-2260035|2975928	440	429	38.181818	43.157895	4.976076555	10005	7081.5			
CP005929|seryl-tRNA_synthetase|3243810|3244043|2500318|2501583|cluster-1|t1pks-nrps|3207594-3341587|742227	FMHW01000002|seryl-tRNA_synthetase|2268405|2268735|79056|80345|cluster-4|t1pks-nrps|2251939-2330015|2188060	233	330	38.197425	36.817102	1.380322755	10002.5	9863			
CP016279|seryl-tRNA_synthetase|7636462|7636928|2652840|2654117|cluster-1|t1pks-otherks|7616455-7668170|4982345	GV586860|seryl-tRNA_synthetase|549750|550176|2795949|2797232|cluster-3|t1pks|478846-587017|2245773	466	426	38.197425	81.647059	43.44963393	10002.5	2736.5			
CP016279|seryl-tRNA_synthetase|7636462|7636928|2652840|2654117|cluster-1|t1pks-otherks|7616455-7668170|4982345	LMRX01000023|seryl-tRNA_synthetase|1337980|1338405|735500|736756|cluster-1|t1pks-nrps|1317966-1375431|601224	466	425	38.197425	36.705882	1.49154254	10002.5	9911.5			
CP016279|seryl-tRNA_synthetase|7636462|7636928|2652840|2654117|cluster-1|t1pks-otherks|7616455-7668170|4982345	MTKC01000003|seryl-tRNA_synthetase|1961493|1961911|4446944|4448221|cluster-1|t2pks-t1pks|1930433-1987817|2485033	466	418	38.197425	89.411765	51.21433981	10002.5	1328			
ACXX02000001|AdmT_ACC|85391|85815|31720|32586|cluster-1|transatpks-nrps|14512-116691|52805	QMEY01000002|AdmT_ACC|455520|455946|310895|312583|cluster-5|phenazine-t1pks-nrps|434989-580664|142937	424	426	38.207547	37.152778	1.054769392	9999	9741.5			
CP001614|seryl-tRNA_synthetase|4744561|4744985|2013962|2015242|cluster-2|t1pks-nrps|4716461-4768285|2729319	CP015588|seryl-tRNA_synthetase|651587|652003|3333321|3334598|cluster-4|transatpks-nrps|584615-688427|2681318	424	416	38.207547	44.600939	6.393391797	9999	6679			
CP001614|seryl-tRNA_synthetase|4744561|4744985|2013962|2015242|cluster-2|t1pks-nrps|4716461-4768285|2729319	CP022753|seryl-tRNA_synthetase|572817|573241|516958|518271|cluster-2|butyrolactone-t1pks|512249-609632|54546	424	424	38.207547	36.384977	1.822570644	9999	10027.5			
CP011799|Ind0_Trp-tRNA-syn|8892904|8893341|3259495|3260508|cluster-6|t2pks-t1pks-ectoine-otherks|8864800-8972990|5632396	KB235898|Ind0_Trp-tRNA-syn|744902|745330|820341|821354|cluster-2|t1pks-nrps|726295-836666|75011	437	428	38.215103	43.620178	5.405075067	9997	6876			
CP000673|ArgK_OTCase|1597432|1597895|2446487|2447497|cluster-1|t1pks-nrps|1535618-1624426|848592	CTEE01000001|ArgK_OTCase|5648478|5648903|2834360|2835286|cluster-1|t1pks|5628467-5673992|2813192	463	425	38.228942	33.035714	5.193227399	9996	10588.5			
CP002047|SalI_beta_proteasome|375202|375657|3009209|3010054|cluster-3|transatpks-otherks-nrps|330056-401421|2633552	JAFQ01000004|SalI_beta_proteasome|6964942|6965364|6346610|6347455|cluster-6|t1pks|6944256-7030194|617487	455	422	38.241758	44.839858	6.598099409	9994.5	6594			
CP019798|ArgK_OTCase|1303222|1303677|6224597|6225616|cluster-2|t1pks|1283219-1327946|4920920	LT841359|ArgK_OTCase|3980553|3980978|2561211|2562134|cluster-2|t1pks-nrps|3960539-4019329|1418419	455	425	38.241758	38.348083	0.106324354	9994.5	9230.5			
CP017780|borI_Thr-tRNA-syn|1611452|1611878|2346600|2348669|cluster-2|t1pks|1528713-1634377|734722	KB235922|borI_Thr-tRNA-syn|2307076|2307485|3212550|3214448|cluster-1|t1pks-nrps|2283121-2335702|905065	426	409	38.262911	40.348331	2.085420116	9993	8334			
AM420293|AdmT_ACC|2531767|2532206|45467|47173|cluster-1|t1pks|2511112-2562105|2484594	JH992893|AdmT_ACC|63438|63865|395501|396412|cluster-1|butyrolactone-t1pks-nrps|14515-113310|331636	439	427	38.268793	20.950704	17.31808849	9991.5	11201			
CP031455|EF-Tu|702719|703158|2171438|2172562|cluster-3|t1pks-otherks|677573-728878|1468280	FMHY01000002|EF-Tu|3005245|3005671|4371367|4372554|cluster-3|t1pks-nrps|2903211-3036326|1365696	439	426	38.268793	54.812834	16.54404151	9991.5	5323.5			
LGJF01000001|GyrB-R|531851|532282|1283317|1285287|cluster-2|transatpks-otherks|430620-562438|751035	LYUE01000042|GyrB-R|500677|501090|576051|578018|cluster-1|transatpks-nrps|424035-526642|74961	431	413	38.283063	55.792683	17.50962028	9990	5240.5			
FQ859185|EF-Tu|3477902|3478346|3790740|3791933|cluster-1|t1pks-nrps|3416902-3486060|312394	LNBE01000002|EF-Tu|482284|482708|69696|70880|cluster-7|t1pks|462159-556553|411404	444	424	38.288288	45.34005	7.05176209	9988.5	6359			
FQ859185|EF-Tu|3477902|3478346|3790740|3791933|cluster-1|t1pks-nrps|3416902-3486060|312394	LNBE01000002|EF-Tu|920424|920845|69696|70880|cluster-11|t1pks-siderophore|882813-981083|849544	444	421	38.288288	45.34005	7.05176209	9988.5	6359			
CDLW01000001|GyrB-R|4924879|4925289|2611392|2613920|cluster-2|transatpks|4897898-4952369|2310959	CP024051|GyrB-R|2738632|2739064|2463115|2465085|cluster-1|transatpks-nrps|2718094-2823196|273547	410	432	38.292683	32.304038	5.988644922	9987	10686.5			
CP005929|seryl-tRNA_synthetase|8542774|8543231|2500318|2501583|cluster-1|t1pks|8522771-8573972|6041191	FMHW01000002|seryl-tRNA_synthetase|1302686|1303110|79056|80345|cluster-1|t1pks-nrps|1275911-1346248|1222341	457	424	38.293217	36.817102	1.476114492	9986	9863			
NIUA01000001|AdmT_ACC|1158061|1158484|313724|314677|cluster-1|phenazine-t1pks-nrps|1112676-1194859|843384	PHAG01000006|AdmT_ACC|244680|245116|148307|149146|cluster-2|transatpks|223871-314283|95534	423	436	38.297872	36.277603	2.020269817	9984.5	10064.5			
NIUA01000001|AdmT_ACC|1158061|1158484|313724|314677|cluster-1|phenazine-t1pks-nrps|1112676-1194859|843384	QMDO01000001|AdmT_ACC|3098883|3099308|1361387|1362238|cluster-1|transatpks-nrps|3065510-3151379|1736645	423	425	38.297872	37.539432	0.758440164	9984.5	9623.5			
GV586860|seryl-tRNA_synthetase|8778105|8778572|2795949|2797232|cluster-36|t1pks-otherks|8758096-8809767|5980873	MTKC01000003|seryl-tRNA_synthetase|1961493|1961911|4446944|4448221|cluster-1|t2pks-t1pks|1930433-1987817|2485033	467	418	38.329764	83.606557	45.27679292	9983	2288.5			
CP022161|SalI_beta_proteasome|4311225|4311658|2879589|2880443|cluster-1|t1pks|4291225-4335838|1430782	CP022161|SalI_beta_proteasome|9061949|9062367|2879589|2880443|cluster-2|t1pks|9041929-9084013|6181506	433	418	38.337182	100	61.66281755	9982	396			
CP022433|EF-Tu|843235|843694|987834|989006|cluster-3|t1pks-nrps|823224-936029|144140	CP031320|EF-Tu|4192055|4192481|3459248|3460417|cluster-2|t1pks|4172014-4225206|731638	459	426	38.344227	82.307692	43.96346573	9980.5	2629			
CP022433|EF-Tu|843235|843694|987834|989006|cluster-3|t1pks-nrps|823224-936029|144140	LSRI01000011|EF-Tu|435571|435996|380474|381664|cluster-3|nrps-t1pks-ladderane|369586-460217|53907	459	425	38.344227	60.25641	21.91218368	9980.5	4557.5			
NJCW01000002|AdmT_ACC|136769|137194|187548|188492|cluster-1|otherks-t1pks-PUFA-nrps|90657-198198|50354	OBAA01000005|AdmT_ACC|53592|54025|1878|3500|cluster-1|transatpks-otherks|1-101139|50092	425	433	38.352941	32.165605	6.187336081	9979	10709.5			
CP016279|EF-Tu|5233706|5234144|7656108|7657280|cluster-1|lantipeptide-t1pks-otherks|5181716-5260313|2421964	NPKF01000001|EF-Tu|8302802|8303224|7571851|7573020|cluster-2|otherks-t1pks-nrps|8271856-8401033|729782	438	422	38.356164	92.820513	54.46434844	9978	979			
CP002183|GyrB-R|1809890|1810307|1886059|1888026|cluster-1|nrps-transatpks-otherks|1726089-1835991|75752	CP017705|GyrB-R|5059755|5060176|71596|73563|cluster-2|bacteriocin-transatpks-otherks-nrps|5031885-5245872|4986192	417	421	38.369305	56.641221	18.27191682	9977	5169.5			
LAND01000012|ArgK_OTCase|63574|64004|4900|5910|cluster-1|nrps-t1pks-otherks|1-86990|57664	LQPV01000068|ArgK_OTCase|36541|36966|202970|203896|cluster-1|t1pks-nrps|1-86056|166004	430	425	38.372093	39.285714	0.913621262	9976	8839.5			
CP000820|seryl-tRNA_synthetase|6817551|6817994|6991286|6992578|cluster-2|t1pks|6791590-6845234|173292	CP005929|seryl-tRNA_synthetase|3797117|3797541|2500318|2501583|cluster-4|oligosaccharide-t1pks|3777107-3856280|1295534	443	424	38.374718	34.186047	4.188671321	9974.5	10463.5			
CP000820|seryl-tRNA_synthetase|6817551|6817994|6991286|6992578|cluster-2|t1pks|6791590-6845234|173292	CP008977|seryl-tRNA_synthetase|2675638|2676061|3969307|3970566|cluster-8|t1pks-nrps|2646988-2719029|1293246	443	423	38.374718	32.325581	6.049136438	9974.5	10673			
CP012673|AdmT_ACC|5196132|5196588|9758865|9759722|cluster-2|t1pks-otherks|5167339-5222406|4562277	RBXO01000001|AdmT_ACC|3661917|3662360|3565480|3567510|cluster-6|t1pks-lassopeptide|3641908-3717493|94407	456	443	38.377193	38.245614	0.131578947	9973	9296			
FO704550|AdmT_ACC|1814023|1814445|2821904|2822851|cluster-1|t1pks-nrps|1760155-1838466|1007459	KB913024|AdmT_ACC|2074721|2075141|3392382|3394085|cluster-1|t1pks|2054628-2101080|1317241	422	420	38.388626	34.603175	3.785450989	9971	10352			
CP010849|seryl-tRNA_synthetase|5458615|5459037|204424|205701|cluster-4|t1pks-nrps|5438518-5489730|5252914	CP017599|seryl-tRNA_synthetase|2538168|2538591|3678480|3679763|cluster-1|t3pks-nrps-t1pks-otherks|2457926-2584792|1139889	422	423	38.388626	42.352941	3.964315584	9971	7383.5			
LNYU01000091|seryl-tRNA_synthetase|495046|495468|178086|179369|cluster-3|t1pks|474432-521382|315677	OMPD01000014|seryl-tRNA_synthetase|582889|583325|530047|531318|cluster-1|transatpks-ladderane-otherks|521181-662379|51571	422	436	38.388626	41.686183	3.297557077	9971	7608			
CP031455|ArgK_OTCase|929576|930037|7288095|7289096|cluster-5|t1pks-otherks|902650-954003|6358058	MWKY01000001|ArgK_OTCase|1887209|1887634|6424524|6425450|cluster-1|t1pks-nrps|1855279-1915551|4536890	461	425	38.394794	36.636637	1.75815729	9969	9921			
CP004121|AdmT_ACC|463506|463920|3184212|3185081|cluster-2|transatpks-t1pks-nrps|382688-487330|2720292	CP012673|AdmT_ACC|14279424|14279849|9758865|9759722|cluster-1|t1pks-nrps|14252871-14313340|4519702	414	425	38.405797	37.716263	0.689534126	9967.5	9498.5			
CP004121|AdmT_ACC|463506|463920|3184212|3185081|cluster-2|transatpks-t1pks-nrps|382688-487330|2720292	QMEY01000002|AdmT_ACC|186636|187057|310895|312583|cluster-3|thiopeptide-t1pks-nrps|162881-229733|123838	414	421	38.405797	35.640138	2.765658693	9967.5	10203.5			
CP013984|GyrB-R|2251693|2252112|1841777|1843744|cluster-2|nrps-transatpks-otherks|2231589-2312550|407949	JNWN01000002|GyrB-R|13486|13909|365882|367972|cluster-1|t1pks|1-41342|351973	419	423	38.424821	49.312977	10.8881561	9966	5779			
ARVW01000001|AdmT_ACC|5309805|5310263|8487129|8488811|cluster-2|t1pks|5289800-5349515|3176866	CP012673|AdmT_ACC|5196132|5196588|9758865|9759722|cluster-2|t1pks-otherks|5167339-5222406|4562277	458	456	38.427948	19.285714	19.14223331	9965	11269			
ACXX02000001|AdmT_ACC|85391|85815|31720|32586|cluster-1|transatpks-nrps|14512-116691|52805	CP017717|AdmT_ACC|2584028|2584427|10143442|10145154|cluster-3|t1pks-lassopeptide-otherks|2521005-2607980|7559015	424	399	38.443396	37.5	0.943396226	9963.5	9631.5			
ACXX02000001|AdmT_ACC|85391|85815|31720|32586|cluster-1|transatpks-nrps|14512-116691|52805	FNST01000002|AdmT_ACC|6561251|6561676|671040|672644|cluster-5|t1pks|6541243-6586528|5888607	424	425	38.443396	28.819444	9.623951782	9963.5	10883.5			
CP002047|SalI_beta_proteasome|375202|375657|3009209|3010054|cluster-3|transatpks-otherks-nrps|330056-401421|2633552	CP022161|SalI_beta_proteasome|4311225|4311658|2879589|2880443|cluster-1|t1pks|4291225-4335838|1430782	455	433	38.461538	53.380783	14.91924446	9961	5423			
CP019798|ArgK_OTCase|1303222|1303677|6224597|6225616|cluster-2|t1pks|1283219-1327946|4920920	HG964937|ArgK_OTCase|594726|595151|1871289|1872215|cluster-1|t1pks|573162-621522|1276138	455	425	38.461538	39.823009	1.361470388	9961	8567.5			
CP018145|GyrB-R|3361699|3362128|2612213|2614297|cluster-1|transatpks-nrps|3331874-3441475|747402	CP022653|GyrB-R|827469|827894|2083951|2085921|cluster-1|t1pks-nrps|772529-853876|1256057	429	425	38.461538	53.170029	14.70849036	9961	5488			
CP015588|seryl-tRNA_synthetase|6046358|6046792|3333321|3334598|cluster-1|t1pks-nrps|6026341-6077001|2711760	OMKB01000010|seryl-tRNA_synthetase|433456|433878|485043|486314|cluster-1|transatpks-otherks-ladderane|375736-495715|51165	434	422	38.479263	37.176471	1.302792085	9959	9731			
CP014504|ArgK_OTCase|235908|236329|3301085|3302026|cluster-2|t1pks-nrps|211232-261849|3064756	CP021238|ArgK_OTCase|2101434|2101852|2446224|2447153|cluster-1|t1pks|2079365-2131874|344372	421	418	38.47981	34.504792	3.975017644	9957	10368			
CP014504|ArgK_OTCase|235908|236329|3301085|3302026|cluster-2|t1pks-nrps|211232-261849|3064756	LT719128|ArgK_OTCase|2702692|2703114|2011085|2012011|cluster-1|t1pks|2681095-2732197|690681	421	422	38.47981	34.185304	4.294506462	9957	10477.5			
CP014504|ArgK_OTCase|235908|236329|3301085|3302026|cluster-2|t1pks-nrps|211232-261849|3064756	LT841359|ArgK_OTCase|3980553|3980978|2561211|2562134|cluster-2|t1pks-nrps|3960539-4019329|1418419	421	425	38.47981	34.504792	3.975017644	9957	10368			
KV411304|agnB2_Leu-tRNA-syn|3556014|3556453|3213464|3215959|cluster-4|t1pks-otherks|3535343-3586667|340055	QVIG01000001|agnB2_Leu-tRNA-syn|2523454|2523880|4301933|4304827|cluster-6|t1pks-nrps|2503442-2552687|1778053	439	426	38.496583	44.404332	5.907748986	9953	6745.5			
AM420293|AdmT_ACC|2531767|2532206|45467|47173|cluster-1|t1pks|2511112-2562105|2484594	ARVW01000001|AdmT_ACC|8346377|8346802|8487129|8488811|cluster-1|t1pks|8326283-8372675|140327	439	425	38.496583	47.887324	9.3907408	9953	5896.5			
AM420293|AdmT_ACC|2531767|2532206|45467|47173|cluster-1|t1pks|2511112-2562105|2484594	LT607409|AdmT_ACC|5314891|5315316|3822796|3824505|cluster-1|t1pks|5294856-5478251|1490386	439	425	38.496583	51.93662	13.44003657	9953	5566			
CP031455|EF-Tu|702719|703158|2171438|2172562|cluster-3|t1pks-otherks|677573-728878|1468280	CP031455|EF-Tu|7093699|7094125|2171438|2172562|cluster-1|t1pks-nrps|7073561-7292064|4921137	439	426	38.496583	100	61.50341686	9953	396			
CP031455|EF-Tu|702719|703158|2171438|2172562|cluster-3|t1pks-otherks|677573-728878|1468280	FQ859185|EF-Tu|3844535|3844960|3790740|3791933|cluster-1|transatpks-t1pks-nrps|3784857-3878760|52602	439	425	38.496583	47.860963	9.364379423	9953	5906			
CP000673|ArgK_OTCase|1824715|1825141|2446487|2447497|cluster-2|transatpks-nrps|1800256-1852755|621346	HE971709|ArgK_OTCase|2801166|2801582|2749617|2750645|cluster-2|t2pks-t1pks|2749113-2852588|50521	426	416	38.497653	50.892857	12.39520456	9949.5	5679			
CP000673|ArgK_OTCase|1824715|1825141|2446487|2447497|cluster-2|transatpks-nrps|1800256-1852755|621346	HE971709|ArgK_OTCase|742484|742909|2749617|2750645|cluster-1|t1pks-nrps|699548-770346|2006708	426	425	38.497653	50.892857	12.39520456	9949.5	5679			
ACJE01000019|EF-Tu|955891|956304|1107431|1108800|cluster-4|t1pks|935891-983759|151127	FMHY01000002|EF-Tu|3873085|3873509|4371367|4372554|cluster-1|t1pks-nrps|3823515-3901400|497858	413	424	38.498789	28.473804	10.02498525	9947	10966			
ACJE01000019|EF-Tu|955891|956304|1107431|1108800|cluster-4|t1pks|935891-983759|151127	FNTQ01000001|EF-Tu|1535044|1535468|7942524|7943693|cluster-2|t2pks-t1pks-nrps|1480312-1568757|6407056	413	424	38.498789	29.157175	9.341613948	9947	10851			
ACJE01000019|EF-Tu|955891|956304|1107431|1108800|cluster-4|t1pks|935891-983759|151127	LNBE01000002|EF-Tu|830910|831319|69696|70880|cluster-10|t1pks|810899-876685|760030	413	409	38.498789	26.42369	12.07509914	9947	11065			
CP023778|agnB2_Leu-tRNA-syn|8715408|8715782|2714877|2717372|cluster-1|t1pks|8695398-8741961|5998036	KB235898|agnB2_Leu-tRNA-syn|782972|783386|835918|838476|cluster-2|t1pks-nrps|726295-836666|52532	374	414	38.502674	44.524669	6.021995277	9945	6707			
CP005929|seryl-tRNA_synthetase|8542774|8543231|2500318|2501583|cluster-1|t1pks|8522771-8573972|6041191	CP010849|seryl-tRNA_synthetase|7718217|7718642|204424|205701|cluster-9|t3pks-fused-bacteriocin-t1pks-nrps|7679429-7762396|7512516	457	425	38.512035	33.729216	4.782818859	9943	10521.5			
FMHW01000002|seryl-tRNA_synthetase|5224113|5224570|79056|80345|cluster-1|t1pks-otherks|5204106-5256178|5143768	GV586860|seryl-tRNA_synthetase|549750|550176|2795949|2797232|cluster-3|t1pks|478846-587017|2245773	457	426	38.512035	35.664336	2.847699347	9943	10189			
FMHW01000002|seryl-tRNA_synthetase|5224113|5224570|79056|80345|cluster-1|t1pks-otherks|5204106-5256178|5143768	PHUI01000001|seryl-tRNA_synthetase|6324215|6324666|5998887|6000164|cluster-1|t1pks-siderophore|6304212-6357857|324051	457	451	38.512035	36.130536	2.38149888	9943	10102.5			
CP016796|agnB2_Leu-tRNA-syn|1826058|1826476|1124038|1126479|cluster-2|t1pks|1806055-1852963|699579	KB235898|agnB2_Leu-tRNA-syn|782972|783386|835918|838476|cluster-2|t1pks-nrps|726295-836666|52532	418	414	38.516746	50.307503	11.79075666	9941	5713			
CP006003|borI_Thr-tRNA-syn|8237126|8237383|5950085|5952013|cluster-1|t1pks|8216408-8262950|2285113	KQ976354|borI_Thr-tRNA-syn|10317578|10318005|10374937|10376766|cluster-1|t1pks-nrps|10246503-10382237|56932	257	427	38.521401	40.498442	1.977041589	9939.5	8235.5			
CP006003|borI_Thr-tRNA-syn|8237126|8237383|5950085|5952013|cluster-1|t1pks|8216408-8262950|2285113	MRUG01000025|borI_Thr-tRNA-syn|48860|49281|118898|120811|cluster-1|nrps-transatpks-otherks|1-119073|69617	257	421	38.521401	50.155763	11.63436246	9939.5	5732			
LT607409|AdmT_ACC|3594758|3595181|3822796|3824505|cluster-1|terpene-t1pks-nrps|3565546-3646673|227615	QMDO01000001|AdmT_ACC|3098883|3099308|1361387|1362238|cluster-1|transatpks-nrps|3065510-3151379|1736645	423	425	38.534279	19.507909	19.02637035	9938	11250			
CDLW01000001|GyrB-R|4924879|4925289|2611392|2613920|cluster-2|transatpks|4897898-4952369|2310959	JPWY01000019|GyrB-R|445443|445875|369081|371048|cluster-4|transatpks-otherks-nrps|424914-534825|74395	410	432	38.536585	32.422803	6.113782516	9937	10659			
GV586860|seryl-tRNA_synthetase|8778105|8778572|2795949|2797232|cluster-36|t1pks-otherks|8758096-8809767|5980873	LN831790|seryl-tRNA_synthetase|7376012|7376441|347431|348708|cluster-3|t1pks|7355977-7439461|7027304	467	429	38.543897	71.428571	32.88467421	9936	3355.5			
CM003601|seryl-tRNA_synthetase|4528613|4529041|4236497|4237774|cluster-2|ectoine-arylpolyene-t1pks-nrps-butyrolactone-ladderane|4495581-4652594|290839	CP017599|seryl-tRNA_synthetase|3848536|3848971|3678480|3679763|cluster-4|t1pks-nrps|3828527-3902702|168773	428	435	38.551402	44.941176	6.389774601	9934.5	6542.5			
CP022433|EF-Tu|7396891|7397319|987834|989006|cluster-1|t1pks-nrps|7373849-7480384|6407885	PHAG01000006|EF-Tu|135860|136287|240352|241545|cluster-1|transatpks|77029-167070|104065	428	427	38.551402	58.974359	20.42295711	9934.5	4774.5			
CP022161|SalI_beta_proteasome|4311225|4311658|2879589|2880443|cluster-1|t1pks|4291225-4335838|1430782	MWKY01000001|SalI_beta_proteasome|1875984|1876398|493636|494502|cluster-1|t1pks-nrps|1855279-1915551|1381482	433	414	38.568129	45.070423	6.502293205	9932.5	6521.5			
CP022161|SalI_beta_proteasome|4311225|4311658|2879589|2880443|cluster-1|t1pks|4291225-4335838|1430782	NZ_UPHU01000001|SalI_beta_proteasome|2761201|2761624|3592444|3593319|cluster-8|t1pks-nrps|2726523-2787480|830820	433	423	38.568129	45.070423	6.502293205	9932.5	6521.5			
CP012109|borI_Thr-tRNA-syn|3338321|3338741|4230116|4232044|cluster-5|transatpks|3297913-3365483|891375	CP019040|borI_Thr-tRNA-syn|248995|249415|2134504|2136432|cluster-1|transatpks-nrps|197846-275573|1885089	420	420	38.571429	43.302181	4.730752114	9931	7024			
PHUI01000001|seryl-tRNA_synthetase|6324215|6324666|5998887|6000164|cluster-1|t1pks-siderophore|6304212-6357857|324051	RBXC01000002|seryl-tRNA_synthetase|119324|119749|187777|189054|cluster-1|t2pks-t1pks-butyrolactone-nrps|1-150262|68028	451	425	38.580931	58.117647	19.5367158	9930	5062			
CP026304|AdmT_ACC|949664|950102|7366570|7368267|cluster-1|t1pks|924360-975922|6416468	UGRU01000001|AdmT_ACC|6795001|6795422|2937656|2939332|cluster-1|t1pks-nrps|6731571-6831355|3855669	438	421	38.584475	56.460177	17.87570211	9927.5	5175.5			
PKFQ01000001|ArgK_OTCase|497937|498375|5484776|5485777|cluster-3|t3pks-t1pks|434475-524051|4986401	PKFQ01000001|ArgK_OTCase|868041|868465|5484776|5485777|cluster-5|lantipeptide-t1pks-nrps|727849-1025295|4616311	438	424	38.584475	100	61.41552511	9927.5	396			
CP016279|EF-Tu|5233706|5234144|7656108|7657280|cluster-1|lantipeptide-t1pks-otherks|5181716-5260313|2421964	FMHY01000002|EF-Tu|3873085|3873509|4371367|4372554|cluster-1|t1pks-nrps|3823515-3901400|497858	438	424	38.584475	71.794872	33.21039691	9927.5	3269			
CP016279|EF-Tu|5233706|5234144|7656108|7657280|cluster-1|lantipeptide-t1pks-otherks|5181716-5260313|2421964	FNLF01000002|EF-Tu|1689504|1689930|1141523|1142713|cluster-1|t1pks-nrps|1643909-1714978|546791	438	426	38.584475	60.512821	21.92834563	9927.5	4456.5			
CP007142|agnB2_Leu-tRNA-syn|4845800|4846225|3322579|3325152|cluster-1|t1pks-nrps|4821785-4869475|1520648	LGTC01000001|agnB2_Leu-tRNA-syn|1952740|1953163|2657598|2660072|cluster-2|transatpks-nrps|1922993-1998332|704435	425	423	38.588235	46.907818	8.319582676	9925	6061.5			
LMSL01000036|seryl-tRNA_synthetase|6512|6924|60231|61511|cluster-1|t1pks-nrps|1-75249|53307	OMKB01000010|seryl-tRNA_synthetase|433456|433878|485043|486314|cluster-1|transatpks-otherks-ladderane|375736-495715|51165	412	422	38.592233	39.671362	1.079128493	9924	8629			
CP031455|ArgK_OTCase|929576|930037|7288095|7289096|cluster-5|t1pks-otherks|902650-954003|6358058	CTEC01000002|ArgK_OTCase|1859241|1859664|148142|149071|cluster-1|t1pks|1839221-1886378|1710170	461	423	38.611714	37.237237	1.374476429	9923	9701.5			
FQZK01000001|AdmT_ACC|756164|756586|440052|441719|cluster-3|t1pks|736155-779079|314445	UGRU01000001|AdmT_ACC|548938|549364|2937656|2939332|cluster-3|t1pks|528935-575261|2388292	422	426	38.625592	58.558559	19.93296614	9920.5	4866			
KK211137|seryl-tRNA_synthetase|3074928|3075350|2705643|2706923|cluster-4|t1pks-nrps|3050823-3103811|368005	OMKB01000010|seryl-tRNA_synthetase|433456|433878|485043|486314|cluster-1|transatpks-otherks-ladderane|375736-495715|51165	422	422	38.625592	43.661972	5.036379414	9920.5	6872.5			
KK211137|seryl-tRNA_synthetase|3074928|3075350|2705643|2706923|cluster-4|t1pks-nrps|3050823-3103811|368005	RCCW01000001|seryl-tRNA_synthetase|4483969|4484400|2885181|2886461|cluster-1|hserlactone-nrps-transatpks-otherks|4455082-4697781|1597508	422	431	38.625592	61.971831	23.34623857	9920.5	4150			
CP014504|ArgK_OTCase|1183992|1184414|3301085|3302026|cluster-2|t1pks-nrps|1147973-1218904|2116671	CP014504|ArgK_OTCase|235908|236329|3301085|3302026|cluster-2|t1pks-nrps|211232-261849|3064756	422	421	38.625592	100	61.37440758	9920.5	396			
CP005929|seryl-tRNA_synthetase|3243810|3244043|2500318|2501583|cluster-1|t1pks-nrps|3207594-3341587|742227	LN831790|seryl-tRNA_synthetase|1095491|1095796|347431|348708|cluster-1|nrps-transatpks-terpene-otherks|1046004-1155931|746783	233	305	38.626609	33.729216	4.89739329	9918	10521.5			
