target_name		gbid	score_final	antismashfile	cluster_num	cluster_type	distance	species	phyla	homologs	homologs_list	pident_list	redundant	target count 	copynum	coevolution score	in pos set	in pos set homologs	in pos set redundnat
Serine--tRNA ligase	sp_P0A8L1_SYS_ECOLI	NZ_KN039947	40	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_KN039947/index.html	cluster-6	t1pks-butyrolactone	954	Streptomyces luteus	Actinobacteria	3	"[u'AP010968', u'FNIE01000009', u'JQLN01000002']"	29	"[u'BA000030', u'BBNN01000050', u'CP006259', u'CP015588', u'CP016279', u'FKJI03000004', u'FNTD01000004', u'GV586860', u'JOCT01000005', u'JODF01000057', u'JOIZ01000010', u'JOJB01000034', u'KL591194', u'KN039947', u'KQ948030', u'KQ948851', u'LBDA02000024', u'LGDV01000038', u'LGKJ01000215', u'MCGQ01000010', u'MLYN01000035', u'MLYO01000016', u'MQUS01000035', u'MTKC01000003', u'PHUI01000001', u'PJMO01000001', u'QLLW01000001', u'QXCZ01000001']"	44	0	14.67234496	FALSE	FALSE	FALSE
Acetylornithine/succinyldiaminopimelate aminotransferase	sp_P18335_ARGD_ECOLI	LK022848	40	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LK022848_484213_1887177/index.html	cluster-4	t1pks	2893	Streptomyces iranensis	Actinobacteria	0	[]	9	"[u'BDFA01000009', u'CP018627', u'CP019458', u'CP022545', u'CP023992', u'CP025018', u'CP025018', u'LJIW01000002']"	85	11	12.64264708	FALSE	FALSE	FALSE
Serine--tRNA ligase	sp_P0A8L1_SYS_ECOLI	QLLW01000001	45	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/QLLW01000001/index.html	cluster-3	t1pks-otherks	1632	Streptomyces sp. PsTaAH-130	Actinobacteria	4	"[u'AP010968', u'CP015588', u'JODF01000057', u'JQLN01000002']"	27	"[u'BA000030', u'BBNN01000050', u'CP006259', u'CP016279', u'FKJI03000004', u'FNTD01000004', u'GV586860', u'JOCT01000005', u'JOIZ01000010', u'JOJB01000034', u'KL591194', u'KN039947', u'KQ948030', u'KQ948851', u'LBDA02000024', u'LGDV01000038', u'LGKJ01000215', u'MCGQ01000010', u'MLYN01000035', u'MLYO01000016', u'MQUS01000035', u'MTKC01000003', u'NZ_KN039947', u'PHUI01000001', u'PJMO01000001', u'QXCZ01000001']"	44	1	13.60638316	FALSE	FALSE	FALSE
Transcriptional regulatory protein WalR	sp_Q9RDT5_WALR_STAAU	OCSW01000001	50	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/OCSW01000001_1757480_2058892/index.html	cluster-1	t1pks-otherks	4147	Streptomyces sp. OV198	Actinobacteria	0	[]	3	"[u'NSGZ01000001', u'NZ_KQ948463']"	52	24	4.597242657	FALSE	FALSE	FALSE
UDP-N-acetylglucosamine 1-carboxyvinyltransferase MurA	sp_P0A749_MURA_ECOLI	CPHM01000007	55	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CPHM01000007/index.html	cluster-1	t1pks-nrps	3886	Mycobacterium tuberculosis	Actinobacteria	0	[]	1	[]	2	1	1.681427941	FALSE	FALSE	FALSE
Transcriptional regulatory protein WalR	sp_Q9RDT5_WALR_STAAU	NEVL01000003	50	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/NEVL01000003_552365_957338/index.html	cluster-1	t1pks	2643	Bordetella genomosp. 1	Proteobacteria	0	[]	1	[]	52	3	7.217699365	FALSE	FALSE	FALSE
ECF RNA polymerase sigma-E factor	sp_P0AGB6_RPOE_ECOLI	KL575173	40	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KL575173/index.html	cluster-1	t1pks-nrps	3008	Streptomyces peruviensis	Actinobacteria	0	[]	0	[]	4	1	28.26536556	FALSE	FALSE	FALSE
Serine--tRNA ligase	sp_P0A8L1_SYS_ECOLI	CM003601	50	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CM003601_4056669_4759610/index.html	cluster-1	t1pks	859	Streptomyces anulatus	Actinobacteria	1	[u'JQLN01000002']	1	[]	44	2	12.96777123	FALSE	FALSE	FALSE
Acetylornithine/succinyldiaminopimelate aminotransferase	sp_P18335_ARGD_ECOLI	MEBC01000001	60	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MEBC01000001/index.html	cluster-1	transatpks-t1pks-nrps	4642	Burkholderia ubonensis	Proteobacteria	3	"[u'CP013392', u'CP013405', u'NKFM01000062']"	55	"[u'ABBE01000764', u'CP009487', u'CP013368', u'CP013442', u'CP013445', u'CP013465', u'JRFO01000005', u'LNJU01000004', u'LOTM01000036', u'LOTO01000012', u'LOVI01000073', u'LOVL01000025', u'LOVP01000079', u'LOVR01000062', u'LOXM01000119', u'LOZJ01000091', u'LPAK01000053', u'LPBH01000001', u'LPBJ01000104', u'LPBW01000066', u'LPBY01000058', u'LPCC01000023', u'LPDO01000022', u'LPDY01000079', u'LPEA01000088', u'LPEC01000052', u'LPEH01000089', u'LPEP01000065', u'LPFC01000091', u'LPFE01000058', u'LPFP01000076', u'LPFY01000022', u'LPFZ01000051', u'LPGB01000072', u'LPGN01000004', u'LPHJ01000104', u'LPHR01000070', u'LPIP01000016', u'LPIU01000016', u'LPJF01000052', u'LPJH01000050', u'LPKF01000029', u'LPLF01000054', u'MEAS01000041', u'MEAU01000031', u'MEAX01000018', u'MEBE01000001', u'MEBF01000045', u'MEBJ01000034', u'MEBK01000023', u'MEBL01000034', u'MECN01000002', u'NQNB01000067', u'NQNC01000002']"	85	2	5.757197354	FALSE	FALSE	FALSE
Sensor protein kinase WalK	sp_Q9RDT3_WALK_STAAU	CP017781	20	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/CP017781/index.html	cluster-1	t1pks	4408	Rhodobacter sp. LPB0142	Proteobacteria	0	[]	1	[]	1	1	0	FALSE	FALSE	FALSE
Aminodeoxychorismate synthase component 1	sp_P05041_PABB_ECOLI	MOEP01000024	55	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MOEP01000024/index.html	cluster-1	t1pks	4298	Streptomyces cinnamoneus	Actinobacteria	4	"[u'JOHT01000001', u'KB846722', u'KB894404', u'MUBL01000293']"	1	[]	69	1	8.006253924	FALSE	FALSE	FALSE
Elongation factor G	sp_P0A6M8_EFG_ECOLI	AP017422	60	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/AP017422_0_272068/index.html	cluster-1	t1pks-otherks	3979	Filimonas lacunae	Bacteroidetes	0	[]	1	[]	5	2	7.658567538	FALSE	FALSE	FALSE
Transcriptional regulatory protein WalR	sp_Q9RDT5_WALR_STAAU	LQIS01000006	45	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LQIS01000006/index.html	cluster-2	t1pks	4642	Mycobacterium sp. GA-1285	Actinobacteria	0	[]	1	[]	52	1	8.087932323	FALSE	FALSE	FALSE
Aminodeoxychorismate synthase component 1	sp_P05041_PABB_ECOLI	MPLE01000001	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MPLE01000001_952808_1338896/index.html	cluster-1	t1pks-nrps	3213	Streptomyces viridifaciens	Actinobacteria	0	[]	1	[]	69	1	12.27771336	FALSE	FALSE	FALSE
UDP-3-O-acyl-N-acetylglucosamine deacetylase	sp_P0A725_LPXC_ECOLI	CP016442	60	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP016442_1623301_1924578/index.html	cluster-1	t1pks	2	Burkholderia stabilis	Proteobacteria	18	"[u'AP013062', u'AXAJ01000009', u'BBJF01000005', u'CP017562', u'CP023522', u'FNCJ01000011', u'FUZW01000002', u'FXAT01000008', u'JSZN01000033', u'KN150849', u'LAVN01000003', u'LOWB01000076', u'LPEQ01000122', u'LPKA01000024', u'ML058600', u'NBSQ01000002', u'QJSQ01000029', u'RAIM01000002']"	17	"[u'CP013730', u'CP015033', u'CP015036', u'CP029824', u'JPGM01000008', u'KI421535', u'KN150939', u'LDWR01000005', u'LOWV01000038', u'LOYC01000030', u'LOYN01000022', u'LPCO01000066', u'LR025742', u'OEOG01000026', u'PVGX01000094', u'PVHJ01000137']"	37	2	4.943050719	FALSE	FALSE	FALSE
Elongation factor Tu 1	sp_P0CE47_EFTU1_ECOLI	QLLW01000013	45	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/QLLW01000013/index.html	cluster-1	t1pks-otherks	3741	Streptomyces sp. PsTaAH-130	Actinobacteria	0	[]	2	[u'NZ_LBDA02000011']	4	1	11.91335094	FALSE	FALSE	FALSE
Aminodeoxychorismate synthase component 1	sp_P05041_PABB_ECOLI	CP004370	60	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP004370_6613273_6841649/index.html	cluster-1	lantipeptide-t1pks-nrps	4286	Streptomyces albus J1074	Actinobacteria	7	"[u'BBNN01000039', u'CP019724', u'CP019724', u'FMCM01000285', u'JOFW01000016', u'JOIZ01000015', u'LMTQ02000032']"	27	"[u'AMPN02000002', u'CM002271', u'CP009802', u'CP014485', u'CP016824', u'CP029338', u'CP031742', u'DS999645', u'FMBX01000003', u'FMCF01000008', u'FR873698', u'JHDU01000020', u'JNZI01000016', u'JOGQ01000019', u'JOGU01000015', u'JTCK01000028', u'KB890710', u'KB898240', u'KN549162', u'KV861362', u'KZ195583', u'LAYX01000019', u'LLZL01000002', u'MNPQ01000024', u'NZ_AZYD01000015', u'UHID01000005']"	69	2	7.078179092	FALSE	FALSE	FALSE
ATP-dependent Clp protease proteolytic subunit	sp_P0A6G7_CLPP_ECOLI	LK021337	60	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LK021337_177144_478424/index.html	cluster-2	t1pks-nrps	3579	Mycolicibacterium neoaurum	Actinobacteria	0	[]	3	"[u'CP006936', u'MVHJ01000004']"	12	2	9.850558288	FALSE	FALSE	FALSE
Serine--tRNA ligase	sp_P0A8L1_SYS_ECOLI	LBDA02000024	45	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LBDA02000024/index.html	cluster-1	otherks-t1pks-siderophore	2391	Streptomyces malaysiense	Actinobacteria	4	"[u'AP010968', u'CP015588', u'JODF01000057', u'JQLN01000002']"	27	"[u'BA000030', u'BBNN01000050', u'CP006259', u'CP016279', u'FKJI03000004', u'FNTD01000004', u'GV586860', u'JOCT01000005', u'JOIZ01000010', u'JOJB01000034', u'KL591194', u'KN039947', u'KQ948030', u'KQ948851', u'LGDV01000038', u'LGKJ01000215', u'MCGQ01000010', u'MLYN01000035', u'MLYO01000016', u'MQUS01000035', u'MTKC01000003', u'NZ_KN039947', u'PHUI01000001', u'PJMO01000001', u'QLLW01000001', u'QXCZ01000001']"	44	1	12.90819294	FALSE	FALSE	FALSE
Acetylornithine/succinyldiaminopimelate aminotransferase	sp_P18335_ARGD_ECOLI	LPJH01000050	55	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LPJH01000050/index.html	cluster-1	transatpks-t1pks-nrps	4630	Burkholderia ubonensis	Proteobacteria	3	"[u'CP013392', u'CP013405', u'NKFM01000062']"	55	"[u'ABBE01000764', u'CP009487', u'CP013368', u'CP013442', u'CP013445', u'CP013465', u'JRFO01000005', u'LNJU01000004', u'LOTM01000036', u'LOTO01000012', u'LOVI01000073', u'LOVL01000025', u'LOVP01000079', u'LOVR01000062', u'LOXM01000119', u'LOZJ01000091', u'LPAK01000053', u'LPBH01000001', u'LPBJ01000104', u'LPBW01000066', u'LPBY01000058', u'LPCC01000023', u'LPDO01000022', u'LPDY01000079', u'LPEA01000088', u'LPEC01000052', u'LPEH01000089', u'LPEP01000065', u'LPFC01000091', u'LPFE01000058', u'LPFP01000076', u'LPFY01000022', u'LPFZ01000051', u'LPGB01000072', u'LPGN01000004', u'LPHJ01000104', u'LPHR01000070', u'LPIP01000016', u'LPIU01000016', u'LPJF01000052', u'LPKF01000029', u'LPLF01000054', u'MEAS01000041', u'MEAU01000031', u'MEAX01000018', u'MEBC01000001', u'MEBE01000001', u'MEBF01000045', u'MEBJ01000034', u'MEBK01000023', u'MEBL01000034', u'MECN01000002', u'NQNB01000067', u'NQNC01000002']"	85	1	5.714557319	FALSE	FALSE	FALSE
Aminodeoxychorismate synthase component 1	sp_P05041_PABB_ECOLI	JOGU01000015	55	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JOGU01000015/index.html	cluster-1	lantipeptide-t1pks-nrps	4281	Streptomyces griseus subsp. griseus	Actinobacteria	6	"[u'BBNN01000039', u'CP019724', u'CP019724', u'JOFW01000016', u'JOIZ01000015', u'LMTQ02000032']"	28	"[u'AMPN02000002', u'CM002271', u'CP004370', u'CP009802', u'CP014485', u'CP016824', u'CP029338', u'CP031742', u'DS999645', u'FMBX01000003', u'FMCF01000008', u'FMCM01000285', u'FR873698', u'JHDU01000020', u'JNZI01000016', u'JOGQ01000019', u'JTCK01000028', u'KB890710', u'KB898240', u'KN549162', u'KV861362', u'KZ195583', u'LAYX01000019', u'LLZL01000002', u'MNPQ01000024', u'NZ_AZYD01000015', u'UHID01000005']"	69	1	6.586792112	FALSE	FALSE	FALSE
Na(+)-translocating NADH-quinone reductase subunit F	sp_Q75R59_NQRF_VIBAN	MDGR01000007	65	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MDGR01000007_2749470_3509353/index.html	cluster-2	t1pks	3414	Reichenbachiella sp. 5M10	Bacteroidetes	1	[u'FRAA01000010']	1	[]	2	1	7.261789666	FALSE	FALSE	FALSE
Elongation factor Tu 1	sp_P0CE47_EFTU1_ECOLI	CP016279	50	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP016279_7489686_7795986/index.html	cluster-1	t1pks-otherks	1964	Streptomyces griseochromogenes	Actinobacteria	2	"[u'CP015588', u'JODF01000057']"	27	"[u'BA000030', u'BBNN01000050', u'CP006259', u'FKJI03000004', u'FNTD01000004', u'GV586860', u'JOCT01000005', u'JOIZ01000010', u'JOJB01000034', u'KL591194', u'KN039947', u'KQ948030', u'KQ948851', u'LBDA02000024', u'LGDV01000038', u'LGKJ01000215', u'MCGQ01000010', u'MLYN01000035', u'MLYO01000016', u'MQUS01000035', u'MTKC01000003', u'NZ_KN039947', u'PHUI01000001', u'PJMO01000001', u'QLLW01000001', u'QXCZ01000001']"	44	3	10.72666672	FALSE	FALSE	FALSE
UDP-3-O-acyl-N-acetylglucosamine deacetylase	sp_P0A725_LPXC_ECOLI	LOWB01000076	55	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LOWB01000076/index.html	cluster-1	t1pks	1	Burkholderia sp. TSV86	Proteobacteria	32	"[u'AP013062', u'BBJF01000005', u'CP013730', u'CP015033', u'CP015036', u'CP016442', u'CP017562', u'CP023522', u'CP029824', u'FNCJ01000011', u'FUZW01000002', u'FXAT01000008', u'JPGM01000008', u'JSZN01000033', u'KI421535', u'KN150849', u'KN150939', u'LAVN01000003', u'LDWR01000005', u'LOWV01000038', u'LOYC01000030', u'LOYN01000022', u'LPCO01000066', u'LPEQ01000122', u'LPKA01000024', u'LR025742', u'ML058600', u'OEOG01000026', u'PVGX01000094', u'PVHJ01000137', u'QJSQ01000029', u'RAIM01000002']"	2	[u'NBSQ01000002']	37	1	7.774680049	FALSE	FALSE	FALSE
Transcriptional regulatory protein WalR	sp_Q9RDT5_WALR_STAAU	CP021121	40	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/CP021121/index.html	cluster-7	t1pks	64	Streptomyces sp. SCSIO 03032	Actinobacteria	0	[]	1	[]	52	4	12.01648202	FALSE	FALSE	FALSE
Serine--tRNA ligase	sp_P0A8L1_SYS_ECOLI	KB893672	30	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KB893672/index.html	cluster-1	t1pks	3063	Frankia elaeagni	Actinobacteria	0	[]	1	[]	44	1	31.31415723	FALSE	FALSE	FALSE
Aminodeoxychorismate synthase component 1	sp_P05041_PABB_ECOLI	KB890710	55	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KB890710/index.html	cluster-1	lantipeptide-t1pks-nrps	816	Streptomyces sp. LaPpAH-202	Actinobacteria	6	"[u'BBNN01000039', u'CP019724', u'CP019724', u'JOFW01000016', u'JOIZ01000015', u'LMTQ02000032']"	28	"[u'AMPN02000002', u'CM002271', u'CP004370', u'CP009802', u'CP014485', u'CP016824', u'CP029338', u'CP031742', u'DS999645', u'FMBX01000003', u'FMCF01000008', u'FMCM01000285', u'FR873698', u'JHDU01000020', u'JNZI01000016', u'JOGQ01000019', u'JOGU01000015', u'JTCK01000028', u'KB898240', u'KN549162', u'KV861362', u'KZ195583', u'LAYX01000019', u'LLZL01000002', u'MNPQ01000024', u'NZ_AZYD01000015', u'UHID01000005']"	69	1	6.535619902	FALSE	FALSE	FALSE
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	sp_P17109_MEND_ECOLI	BBXE01000017	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/BBXE01000017/index.html	cluster-2	t1pks-nrps	4713	Herbidospora yilanensis	Actinobacteria	0	[]	1	[]	1	1	0	FALSE	FALSE	FALSE
Aspartate--tRNA ligase	sp_P21889_SYD_ECOLI	JWJJ01000001	60	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JWJJ01000001_1428472_1589936/index.html	cluster-1	transatpks	2925	Paenibacillus polymyxa A18	Firmicutes	0	[]	1	[]	10	2	7.395885756	FALSE	FALSE	FALSE
D-alanine-D-alanine ligase B	sp_P07862_DDLB_ECOLI	MPOI01000001	60	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MPOI01000001_986734_1288017/index.html	cluster-2	t1pks-nrps	2629	Archangium sp. Cb G35	Proteobacteria	0	[]	2	[u'CP011509']	6	2	7.459425965	FALSE	FALSE	FALSE
Transcriptional regulatory protein WalR	sp_Q9RDT5_WALR_STAAU	PCOQ01000012	45	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/PCOQ01000012/index.html	cluster-1	t1pks	2953	Achromobacter sp. MYb9	Proteobacteria	0	[]	4	"[u'JPYO01000046', u'POQS01000001', u'QNRM01000001']"	52	1	7.541115789	FALSE	FALSE	FALSE
Aminodeoxychorismate synthase component 2	sp_P00903_PABA_ECOLI	JOFX01000009	55	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JOFX01000009/index.html	cluster-1	t1pks-nrps	2491	Streptomyces sp. NRRL F-2664	Actinobacteria	0	[]	8	"[u'CP020039', u'CP020555', u'JOBU01000033', u'JOFY01000014', u'JOIR01000012', u'LGDI01000228', u'LGDS01000057']"	10	1	5.270607092	FALSE	FALSE	FALSE
Aminodeoxychorismate synthase component 1	sp_P05041_PABB_ECOLI	UHID01000005	60	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/UHID01000005_0_485851/index.html	cluster-1	t3pks-t1pks-nrps	918	Streptomyces griseus	Actinobacteria	6	"[u'BBNN01000039', u'CP019724', u'CP019724', u'JOFW01000016', u'JOIZ01000015', u'LMTQ02000032']"	28	"[u'AMPN02000002', u'CM002271', u'CP004370', u'CP009802', u'CP014485', u'CP016824', u'CP029338', u'CP031742', u'DS999645', u'FMBX01000003', u'FMCF01000008', u'FMCM01000285', u'FR873698', u'JHDU01000020', u'JNZI01000016', u'JOGQ01000019', u'JOGU01000015', u'JTCK01000028', u'KB890710', u'KB898240', u'KN549162', u'KV861362', u'KZ195583', u'LAYX01000019', u'LLZL01000002', u'MNPQ01000024', u'NZ_AZYD01000015']"	69	2	7.143950958	FALSE	FALSE	FALSE
Acetylornithine/succinyldiaminopimelate aminotransferase	sp_P18335_ARGD_ECOLI	LPAK01000053	55	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LPAK01000053/index.html	cluster-1	bacteriocin-t1pks-nrps	4627	Burkholderia ubonensis	Proteobacteria	3	"[u'CP013392', u'CP013405', u'NKFM01000062']"	55	"[u'ABBE01000764', u'CP009487', u'CP013368', u'CP013442', u'CP013445', u'CP013465', u'JRFO01000005', u'LNJU01000004', u'LOTM01000036', u'LOTO01000012', u'LOVI01000073', u'LOVL01000025', u'LOVP01000079', u'LOVR01000062', u'LOXM01000119', u'LOZJ01000091', u'LPBH01000001', u'LPBJ01000104', u'LPBW01000066', u'LPBY01000058', u'LPCC01000023', u'LPDO01000022', u'LPDY01000079', u'LPEA01000088', u'LPEC01000052', u'LPEH01000089', u'LPEP01000065', u'LPFC01000091', u'LPFE01000058', u'LPFP01000076', u'LPFY01000022', u'LPFZ01000051', u'LPGB01000072', u'LPGN01000004', u'LPHJ01000104', u'LPHR01000070', u'LPIP01000016', u'LPIU01000016', u'LPJF01000052', u'LPJH01000050', u'LPKF01000029', u'LPLF01000054', u'MEAS01000041', u'MEAU01000031', u'MEAX01000018', u'MEBC01000001', u'MEBE01000001', u'MEBF01000045', u'MEBJ01000034', u'MEBK01000023', u'MEBL01000034', u'MECN01000002', u'NQNB01000067', u'NQNC01000002']"	85	1	5.833887857	FALSE	FALSE	FALSE
Serine--tRNA ligase	sp_P0A8L1_SYS_ECOLI	LGDV01000038	45	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LGDV01000038/index.html	cluster-1	terpene-t1pks	1599	Streptomyces sp. MMG1121	Actinobacteria	3	"[u'CP015588', u'JODF01000057', u'JQLN01000002']"	27	"[u'BA000030', u'BBNN01000050', u'CP006259', u'CP016279', u'FKJI03000004', u'FNTD01000004', u'GV586860', u'JOCT01000005', u'JOIZ01000010', u'JOJB01000034', u'KL591194', u'KN039947', u'KQ948030', u'KQ948851', u'LBDA02000024', u'LGKJ01000215', u'MCGQ01000010', u'MLYN01000035', u'MLYO01000016', u'MQUS01000035', u'MTKC01000003', u'NZ_KN039947', u'PHUI01000001', u'PJMO01000001', u'QLLW01000001', u'QXCZ01000001']"	44	1	13.61421931	FALSE	FALSE	FALSE
Aminodeoxychorismate synthase component 1	sp_P05041_PABB_ECOLI	LUTS01000004	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LUTS01000004/index.html	cluster-1	bacteriocin-t1pks-otherks	1255	Neptuniibacter pectenicola	Proteobacteria	0	[]	1	[]	69	1	14.60155744	FALSE	FALSE	FALSE
Aminodeoxychorismate synthase component 1	sp_P05041_PABB_ECOLI	GG657752	30	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/GG657752/index.html	cluster-2	butyrolactone-t1pks-melanin-nrps	3651	Streptomyces sp. C	Actinobacteria	0	[]	1	[]	69	1	24.49597932	FALSE	FALSE	FALSE
Acetylornithine/succinyldiaminopimelate aminotransferase	sp_P18335_ARGD_ECOLI	CP013405	60	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP013405_367287_668513/index.html	cluster-1	terpene-t1pks-nrps	1925	Burkholderia lata	Proteobacteria	52	"[u'ABBE01000764', u'CP009487', u'CP013368', u'CP013442', u'CP013445', u'CP013465', u'JRFO01000005', u'LNJU01000004', u'LOTM01000036', u'LOTO01000012', u'LOVI01000073', u'LOVL01000025', u'LOVP01000079', u'LOVR01000062', u'LOZJ01000091', u'LPAK01000053', u'LPBH01000001', u'LPBJ01000104', u'LPBW01000066', u'LPBY01000058', u'LPCC01000023', u'LPDO01000022', u'LPDY01000079', u'LPEA01000088', u'LPEC01000052', u'LPEH01000089', u'LPEP01000065', u'LPFC01000091', u'LPFE01000058', u'LPFP01000076', u'LPFY01000022', u'LPFZ01000051', u'LPGB01000072', u'LPGN01000004', u'LPHJ01000104', u'LPHR01000070', u'LPIP01000016', u'LPIU01000016', u'LPJH01000050', u'LPKF01000029', u'LPLF01000054', u'MEAS01000041', u'MEAU01000031', u'MEAX01000018', u'MEBC01000001', u'MEBE01000001', u'MEBF01000045', u'MEBJ01000034', u'MEBK01000023', u'MEBL01000034', u'MECN01000002', u'NQNC01000002']"	6	"[u'CP013392', u'LOXM01000119', u'LPJF01000052', u'NKFM01000062', u'NQNB01000067']"	85	2	6.018968182	FALSE	FALSE	FALSE
UDP-3-O-acyl-N-acetylglucosamine deacetylase	sp_P0A725_LPXC_ECOLI	KN150939	60	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KN150939_3548791_3850068/index.html	cluster-1	t1pks	2	Burkholderia pseudomallei	Proteobacteria	20	"[u'AP013062', u'AXAJ01000009', u'BBJF01000005', u'CP017562', u'CP023522', u'FNCJ01000011', u'FUZW01000002', u'FXAT01000008', u'JSZN01000033', u'KN150849', u'LAVN01000003', u'LOWB01000076', u'LPCO01000066', u'LPEQ01000122', u'LPKA01000024', u'ML058600', u'NBSQ01000002', u'PVHJ01000137', u'QJSQ01000029', u'RAIM01000002']"	15	"[u'CP013730', u'CP015033', u'CP015036', u'CP016442', u'CP029824', u'JPGM01000008', u'KI421535', u'LDWR01000005', u'LOWV01000038', u'LOYC01000030', u'LOYN01000022', u'LR025742', u'OEOG01000026', u'PVGX01000094']"	37	2	5.219484518	FALSE	FALSE	FALSE
2-succinylbenzoate--CoA ligase	sp_P37353_MENE_ECOLI	FTCB01000676	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/FTCB01000676/index.html	cluster-1	t1pks-nrps	944	metagenome	metagenomes	0	[]	1	[]	13	0	26.69297293	FALSE	FALSE	FALSE
UDP-N-acetylglucosamine 1-carboxyvinyltransferase MurA	sp_P0A749_MURA_ECOLI	LMJD01000001	55	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LMJD01000001_721357_1022619/index.html	cluster-1	t1pks	4494	Rhizobium sp. Root268	Proteobacteria	0	[]	1	[]	2	1	1.681427941	FALSE	FALSE	FALSE
Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	sp_P17169_GLMS_ECOLI	CP007155	60	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/CP007155/index.html	cluster-1	t1pks-otherks	1760	Kutzneria albida DSM 43870	Actinobacteria	0	[]	1	[]	7	2	9.150762017	FALSE	FALSE	FALSE
Acetylornithine/succinyldiaminopimelate aminotransferase	sp_P18335_ARGD_ECOLI	CP013465	60	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP013465/index.html	cluster-4	t1pks-arylpolyene-nrps	4633	Burkholderia ubonensis	Proteobacteria	1	[u'CP013405']	57	"[u'ABBE01000764', u'CP009487', u'CP013368', u'CP013392', u'CP013442', u'CP013445', u'JRFO01000005', u'LNJU01000004', u'LOTM01000036', u'LOTO01000012', u'LOVI01000073', u'LOVL01000025', u'LOVP01000079', u'LOVR01000062', u'LOXM01000119', u'LOZJ01000091', u'LPAK01000053', u'LPBH01000001', u'LPBJ01000104', u'LPBW01000066', u'LPBY01000058', u'LPCC01000023', u'LPDO01000022', u'LPDY01000079', u'LPEA01000088', u'LPEC01000052', u'LPEH01000089', u'LPEP01000065', u'LPFC01000091', u'LPFE01000058', u'LPFP01000076', u'LPFY01000022', u'LPFZ01000051', u'LPGB01000072', u'LPGN01000004', u'LPHJ01000104', u'LPHR01000070', u'LPIP01000016', u'LPIU01000016', u'LPJF01000052', u'LPJH01000050', u'LPKF01000029', u'LPLF01000054', u'MEAS01000041', u'MEAU01000031', u'MEAX01000018', u'MEBC01000001', u'MEBE01000001', u'MEBF01000045', u'MEBJ01000034', u'MEBK01000023', u'MEBL01000034', u'MECN01000002', u'NKFM01000062', u'NQNB01000067', u'NQNC01000002']"	85	2	5.927340508	FALSE	FALSE	FALSE
